time,altitude,velocity_z,acceleration_z,motor_output_avg,control_mode,thrust_factor
0.026300668716430664,281.01646261208833,-0.00023473266628570855,0.0034430993255227804,0.5,UNKNOWN,0.0
0.12738561630249023,281.016626942981,-0.00022195818019099534,0.009085050784051418,0.5,UNKNOWN,0.0
0.23055243492126465,281.0167845008251,-0.00024069860228337348,0.005346256773918867,0.5,UNKNOWN,0.0
0.3335268497467041,281.01692746901386,-0.00026023780810646713,-0.0035841946955770254,0.5,UNKNOWN,0.0
0.43845033645629883,281.0170516281538,-0.00024759824736975133,-0.00046053898404352367,0.5,UNKNOWN,0.0
0.5399379730224609,281.01712221891995,-0.000419939256971702,-0.0065225171856582165,0.5,UNKNOWN,0.0
0.6507997512817383,281.0172063822973,-0.00022376197739504278,0.00169686961453408,0.5,UNKNOWN,0.0
0.7617521286010742,281.0172425291514,-1.838008756749332e-05,0.0030146909411996603,0.5,UNKNOWN,0.0
0.8757205009460449,281.0172267185427,-6.717952783219516e-05,0.011461320333182812,0.5,UNKNOWN,0.0
0.9881813526153564,281.0171682132268,0.00024459074484184384,0.005498993676155806,0.5,UNKNOWN,0.0
1.1017839908599854,281.01703084161716,0.0003322279953863472,0.0029397194739431143,0.5,UNKNOWN,0.0
1.2132372856140137,281.01687059585396,0.0005947484751231968,0.004061962943524122,0.5,UNKNOWN,0.0
1.3303754329681396,281.0167415367426,0.000749719503801316,-0.0015618278412148356,0.5,UNKNOWN,0.0
1.4422168731689453,281.01666636926024,0.0007057383190840483,-0.0013019888428971171,0.5,UNKNOWN,0.0
1.5507972240447998,281.0166402798003,0.000700920179951936,-0.008615664206445217,0.5,UNKNOWN,0.0
1.651468276977539,281.0166439224687,0.0007553235627710819,0.008714850060641766,0.5,UNKNOWN,0.0
1.7560503482818604,281.0167095832208,0.000627942499704659,-0.006126705091446638,0.5,UNKNOWN,0.0
1.859802484512329,281.01454971345714,0.02493208460509777,-0.20926816761493683,0.0,UNKNOWN,0.0
1.963646650314331,281.0120060750392,0.03318573534488678,-0.3268117904663086,0.0,UNKNOWN,0.0
2.069241523742676,281.0077557177778,0.03431086987257004,-0.39668238162994385,0.0,UNKNOWN,0.0
2.1800625324249268,281.0039145768486,0.03245783969759941,-0.4253857433795929,0.0,UNKNOWN,0.0
2.2852141857147217,280.9762538225151,0.6620352268218994,9.359825134277344,0.0,UNKNOWN,0.0
2.3978867530822754,280.84596401431907,1.649931788444519,9.48618221282959,0.0,UNKNOWN,0.0
2.5108988285064697,280.6976608643587,2.570809841156006,9.489972114562988,0.0,UNKNOWN,0.0
2.620878219604492,280.3829884139222,3.5742766857147217,9.483135223388672,0.0,UNKNOWN,0.0
2.7325093746185303,279.95765332125177,4.503896236419678,9.489169120788574,0.0,UNKNOWN,0.0
2.8418920040130615,279.4216552441034,5.513054847717285,9.486001014709473,0.0,UNKNOWN,0.0
2.95399808883667,279.0028435460751,6.446287631988525,9.490119934082031,0.0,UNKNOWN,0.0
3.0648353099823,278.28240623873296,7.4577107429504395,9.482636451721191,0.0,UNKNOWN,0.0
3.180058479309082,277.4513047928591,8.392253875732422,9.491779327392578,0.0,UNKNOWN,0.0
3.2905116081237793,276.5095388994418,9.40500259399414,9.481908798217773,0.5,UNKNOWN,0.0
3.406837224960327,275.45710836711567,10.3397855758667,9.4822416305542,0.5,UNKNOWN,0.0
3.520730972290039,274.6940077532689,11.352249145507812,9.494111061096191,0.5,UNKNOWN,0.0
3.6329500675201416,273.4571368065747,12.286245346069336,9.4852294921875,0.5,UNKNOWN,0.0
3.7338168621063232,272.10960282957757,13.297196388244629,9.484405517578125,0.5,UNKNOWN,0.0
3.8353657722473145,270.6518958993678,14.203781127929688,6.458615303039551,0.5,UNKNOWN,0.0
3.9404404163360596,269.65318897282793,14.023277282714844,-3.4058854579925537,0.5,UNKNOWN,0.0
4.048318386077881,268.18782905609413,13.6410551071167,-4.0382795333862305,0.5,UNKNOWN,0.0
4.150564908981323,266.76842018913624,13.232954025268555,-4.017441749572754,0.5,UNKNOWN,0.0
4.258404970169067,265.3956658881938,12.845468521118164,-3.8967177867889404,0.5,UNKNOWN,0.0
4.3703107833862305,264.06812992821153,12.479445457458496,-3.6535308361053467,0.5,UNKNOWN,0.0
4.484069108963013,263.206779224287,12.093979835510254,-3.623198986053467,0.5,UNKNOWN,0.0
4.599151849746704,261.9499054604764,11.731154441833496,-3.713228464126587,0.5,UNKNOWN,0.0
4.708662033081055,260.7363421153297,11.32423210144043,-3.8193535804748535,0.5,UNKNOWN,0.0
4.821146488189697,259.56724998023424,10.941771507263184,-3.834174633026123,0.5,UNKNOWN,0.0
4.931131362915039,258.81272353376295,10.526686668395996,-3.8272414207458496,0.5,UNKNOWN,0.0
5.04506778717041,257.71806279864643,10.11433219909668,-3.7811460494995117,0.5,UNKNOWN,0.0
5.156546592712402,256.6676053661015,9.735636711120605,-3.7765626907348633,0.5,UNKNOWN,0.0
5.257575988769531,255.66116348937646,9.357009887695312,-3.7724084854125977,0.5,UNKNOWN,0.0
5.359375953674316,254.6987976991426,8.94538688659668,-3.785675048828125,0.5,UNKNOWN,0.0
5.462399482727051,254.08180098619638,8.532855987548828,-3.794938564300537,0.5,UNKNOWN,0.0
5.566677570343018,253.1932169699903,8.15185832977295,-3.7947142124176025,0.5,UNKNOWN,0.0
5.669794082641602,252.3489300161323,7.739810466766357,-3.7889785766601562,0.5,UNKNOWN,0.0
5.78537654876709,251.54891384066082,7.359682559967041,-3.792022943496704,0.5,UNKNOWN,0.0
