time,altitude,velocity_z,acceleration_z,motor_output_avg,control_mode,thrust_factor
0.0005090236663818359,119.9992727169626,-0.0009494804544374347,-0.006709713023155928,0.5,UNKNOWN,0.0
0.10894632339477539,119.99991358597347,-0.0012095964048057795,-0.006623565685003996,0.5,UNKNOWN,0.0
0.2158060073852539,120.00070111431954,-0.0022850341629236937,-0.020226461812853813,0.5,UNKNOWN,0.0
0.32581186294555664,119.99955500618206,0.021271750330924988,-0.21479137241840363,0.0,UNKNOWN,0.0
0.4315319061279297,119.99767355256137,0.027760038152337074,-0.3388109505176544,0.0,UNKNOWN,0.0
0.5395388603210449,119.99455759167239,0.027886193245649338,-0.4051872193813324,0.0,UNKNOWN,0.0
0.6498541831970215,119.99192587626163,0.025551551952958107,-0.4214765131473541,0.0,UNKNOWN,0.0
0.7584054470062256,119.98975209461813,0.01787944696843624,-0.4286276698112488,0.0,UNKNOWN,0.0
0.8668956756591797,119.96127423678554,0.647742748260498,9.354120254516602,0.0,UNKNOWN,0.0
0.9726614952087402,119.8852373066761,1.5584110021591187,9.484545707702637,0.0,UNKNOWN,0.0
1.0819332599639893,119.679027383992,2.555410146713257,9.48853874206543,0.0,UNKNOWN,0.0
1.192068099975586,119.36215762439771,3.4808053970336914,9.492286682128906,0.0,UNKNOWN,0.0
1.3027379512786865,118.93462527959862,4.487929821014404,9.485489845275879,0.5,UNKNOWN,0.0
1.4147956371307373,118.60024262841678,4.620706558227539,-3.6448280811309814,0.5,UNKNOWN,0.0
1.515566349029541,118.12300735898087,4.255614280700684,-3.762941598892212,0.5,UNKNOWN,0.0
1.6162714958190918,117.68936345540634,3.899306297302246,-3.838057279586792,0.5,UNKNOWN,0.0
1.7173089981079102,117.30040571118381,3.5329411029815674,-3.845158815383911,0.5,UNKNOWN,0.0
1.8180341720581055,116.9562685075656,3.1320698261260986,-3.824378490447998,0.5,UNKNOWN,0.0
1.9204936027526855,116.75159043415042,2.7309653759002686,-3.781630516052246,0.5,UNKNOWN,0.0
2.0267457962036133,116.48141249528453,2.3609251976013184,-3.7867448329925537,0.5,UNKNOWN,0.0
2.138291120529175,116.25525547159779,1.9594528675079346,-3.7665598392486572,0.5,UNKNOWN,0.0
2.249579668045044,116.07313286681725,1.5864957571029663,-3.776125431060791,0.5,UNKNOWN,0.0
2.3603436946868896,115.97622638219991,1.2127081155776978,-3.791595935821533,0.5,UNKNOWN,0.0
2.4652152061462402,115.86769712141849,0.8066746592521667,-3.794919490814209,0.5,UNKNOWN,0.0
2.576181411743164,115.80340312404124,0.43102142214775085,-3.791281223297119,0.5,UNKNOWN,0.0
2.6844279766082764,115.78336963389033,0.023522254079580307,-3.8008151054382324,0.5,UNKNOWN,0.0
2.7932674884796143,115.8076012448615,-0.38381555676460266,-3.796900749206543,0.5,UNKNOWN,0.0
2.904296398162842,115.84834679785604,-0.7597397565841675,-3.7915639877319336,0.5,UNKNOWN,0.0
3.005904197692871,115.94635667841337,-1.1356009244918823,-3.802558183670044,0.5,UNKNOWN,0.0
3.105983257293701,116.0886236577245,-1.542493224143982,-3.7925264835357666,0.5,UNKNOWN,0.0
3.207631826400757,116.27512708821125,-1.9488825798034668,-3.793426990509033,0.5,UNKNOWN,0.0
3.3083767890930176,116.42403285215195,-2.3238396644592285,-3.789350986480713,0.5,UNKNOWN,0.0
3.41192626953125,116.6841693695987,-2.6847610473632812,-3.151761293411255,0.5,UNKNOWN,0.0
3.5210022926330566,116.9798745263675,-2.9034078121185303,-1.2029273509979248,0.5,UNKNOWN,0.0
3.6276612281799316,117.2897373097747,-2.9443891048431396,0.6838976144790649,0.5,UNKNOWN,0.0
3.7383744716644287,117.59172263803798,-2.8071699142456055,2.0248923301696777,0.5,UNKNOWN,0.0
3.851181745529175,117.77997969367814,-2.578509569168091,2.6573541164398193,0.5,UNKNOWN,0.0
3.9585211277008057,118.03722802384137,-2.3149242401123047,2.376471519470215,0.5,UNKNOWN,0.0
4.065023899078369,118.26601479369306,-2.0622849464416504,2.388585329055786,0.5,UNKNOWN,0.0
4.1783058643341064,118.46711513399413,-1.8344886302947998,2.254988670349121,0.5,UNKNOWN,0.0
4.289781093597412,118.58654097613264,-1.6010156869888306,2.1146204471588135,0.5,UNKNOWN,0.0
4.399363279342651,118.74539968604869,-1.4227346181869507,1.5598138570785522,0.5,UNKNOWN,0.0
4.505326986312866,118.8848886545104,-1.255179524421692,1.5480810403823853,0.5,UNKNOWN,0.0
4.6165711879730225,119.00663257753475,-1.1089547872543335,1.396125078201294,0.5,UNKNOWN,0.0
4.725975275039673,119.11218306136034,-0.9653636813163757,1.2574995756149292,0.5,UNKNOWN,0.0
4.8370397090911865,119.17441288236867,-0.8485853672027588,1.083113193511963,0.5,UNKNOWN,0.0
4.9464111328125,119.2573693076499,-0.7484819889068604,0.787257194519043,0.5,UNKNOWN,0.0
5.047429084777832,119.33060246494115,-0.6706542372703552,0.729193389415741,0.5,UNKNOWN,0.0
5.148489713668823,119.39521491612473,-0.5918963551521301,0.6819702386856079,0.5,UNKNOWN,0.0
5.248982191085815,119.43381621114273,-0.5260168313980103,0.6030066609382629,0.5,UNKNOWN,0.0
5.350259304046631,119.48589471365875,-0.4735718071460724,0.4491051435470581,0.5,UNKNOWN,0.0
5.454458475112915,119.53245279538429,-0.4239703416824341,0.4544732868671417,0.5,UNKNOWN,0.0
5.559831857681274,119.5738317071769,-0.37690845131874084,0.4138825237751007,0.5,UNKNOWN,0.0
5.670785188674927,119.61046721556956,-0.338214248418808,0.3693220019340515,0.5,UNKNOWN,0.0
