marker_id,pos_x,pos_y,pos_z
0,-70.8482287205022,74.96548938244263,15.485371011552715
1,-78.98473103420585,110.02477931961332,3.3352477478718896
2,-72.16211905963279,74.97808301396536,23.680655134378206
3,-61.49387337185317,80.4187281260565,7.504460242153151
4,-78.96450764518129,110.04527460830192,3.6333719437145593
5,-96.32867788778888,104.76461412256472,8.212017684329894
6,-104.51369449235351,101.072351336485,23.708146524061554
7,-103.74065334258479,100.53570605222232,19.629433752793087
8,-101.44067863888982,100.55368153990787,12.303118149587387
9,-71.27048581059738,74.6169382810863,20.335411082941274
10,-60.13969986879059,104.57512107908279,0.17577554013511265
